model,f1,precision,recall,roc_auc,avg_precision,tp,fp,tn,fn
Isolation Forest (original),0.4443664197184088,0.8767882503723717,0.2975956733878079,0.8109560912695195,0.8106066878280426,50624,7114,135277,119486
Isolation Forest (refined),0.7904339647991401,0.7279746584834687,0.8646170125213097,0.8070382662802494,0.8117527111062903,147080,54960,87431,23030
One-Class SVM,0.5160768081715083,0.8891476880607315,0.3635412380224561,0.6470543432128566,0.7580728785176851,61842,7710,134681,108268
PCA SPE (95%),0.908225118892147,0.9539319590563816,0.8666980189289284,0.9800860432769956,0.9775299336135246,147434,7120,135271,22676
PCA T² (95%),0.464770187626687,0.8828446375094613,0.31540767738522135,0.8159147201586604,0.8315984984509347,53654,7120,135271,116456
Ensemble (refined),0.7792002609395864,0.6877085975944368,0.8987713832226206,0.8135975369660478,0.8453816539875617,152890,69428,72963,17220
