contamination,f1,precision,recall
0.02,0.3288108692118674,0.8802600593836388,0.20216330609605548
0.05,0.512428736186885,0.8419977420568787,0.3682793486567515
0.1,0.6204839103523692,0.7795097054142252,0.5153488918934807
0.15,0.7200066025364744,0.7499761202773868,0.6923402504261948
0.2,0.7849360926777464,0.7247929276839757,0.8559637881370877
